Date,Ticker,Close,High,Low,Open,Volume
2015-01-02,AAPL,24.21489906311035,24.682231459955254,23.776359040886113,24.671156559828262,212818400
2015-01-02,AMZN,15.425999641418457,15.737500190734863,15.347999572753906,15.628999710083008,55664000
2015-01-02,BRK-B,149.1699981689453,151.60000610351562,148.5,151.5,3436400
2015-01-02,GOOGL,26.278945922851562,26.589102482833976,26.196070287845032,26.430300582521202,26480000
2015-01-02,HD,79.90189361572266,81.62461903835322,79.31477566486087,81.23835831428879,4323700
2015-01-02,JNJ,76.54862213134766,77.30298085603305,76.2629933821275,76.93678957881383,5753600
2015-01-02,JPM,46.511146545410156,46.86096439849934,46.198540155814,46.28041332545274,12600000
2015-01-02,MA,79.98553466796875,81.55387876429478,79.27604380663969,80.9190726509645,4505800
2015-01-02,META,77.90579986572266,78.38247350389776,77.1610025148975,78.0349029221401,18177500
2015-01-02,MSFT,39.767677307128906,40.32898316463045,39.580577517469216,39.68263224312552,27913900
2015-01-02,NVDA,0.483011394739151,0.48661061061088934,0.4753331056845062,0.483011394739151,113680000
2015-01-02,PG,66.04936981201172,66.45834244406517,65.66960473496133,66.34148993671606,7251400
2015-01-02,TSLA,14.620667457580566,14.883333206176758,14.21733283996582,14.857999801635742,71466000
2015-01-02,UNH,84.48046875,86.02288192266262,83.8350065736744,85.08402145254347,3060900
2015-01-02,V,61.21474075317383,61.61434145658626,60.63035759039091,60.83593459676464,8389600
2015-01-05,AAPL,23.53272247314453,24.064285483437537,23.346676348927705,23.984550947403974,257142000
2015-01-05,AMZN,15.10949993133545,15.418999671936035,15.042499542236328,15.350500106811523,55484000
2015-01-05,BRK-B,147.0,149.0,146.77999877929688,148.80999755859375,4168800
2015-01-05,GOOGL,25.778226852416992,26.201528827300333,25.693369202116152,26.159843968967568,41182000
2015-01-05,HD,78.22553253173828,79.39976267534779,77.86244646612073,79.39976267534779,5878100
2015-01-05,JNJ,76.01396942138672,76.70241066049257,75.93340691095372,76.51931506180563,8079300
2015-01-05,JPM,45.067195892333984,46.354829736198546,44.829021010189585,46.191086279267125,20100600
2015-01-05,MA,77.73568725585938,79.67744753385676,77.5303149284704,79.62143754659867,6441400
2015-01-05,META,76.654541015625,78.70024852116858,76.32682838324084,77.43906175233103,26452200
2015-01-05,MSFT,39.402000427246094,39.74218409579739,39.33396174697813,39.43601652311724,39673900
2015-01-05,NVDA,0.4748532772064209,0.4844511396856566,0.4726937760259686,0.48301145316282096,197952000
2015-01-05,PG,65.7353515625,66.45835851813275,65.61849902688814,65.89602101304851,8626100
2015-01-05,TSLA,14.005999565124512,14.433333396911621,13.810667037963867,14.303333282470703,80527500
2015-01-05,UNH,83.0889663696289,84.2038558009385,82.77880550486354,84.07812095958157,4679000
2015-01-05,V,59.863502502441406,60.86364969762083,59.79420379520802,60.86133762601341,12751200
2015-01-06,AAPL,23.534936904907227,23.794073292366384,23.173916188735014,23.59695227731193,263188400
2015-01-06,AMZN,14.76449966430664,15.149999618530273,14.619000434875488,15.112000465393066,70380000
2015-01-06,BRK-B,146.83999633789062,148.52999877929688,146.11000061035156,147.63999938964844,4116100
2015-01-06,GOOGL,25.14203453063965,25.86506993560834,25.08794265394188,25.82983657629222,54456000
2015-01-06,HD,77.98603057861328,78.85125664184793,77.51479206756865,78.85125664184793,4910100
2015-01-06,JNJ,75.6404800415039,76.89285371645374,75.3914726197924,76.41680387111771,7428000
2015-01-06,JPM,43.89865493774414,45.21606151519544,43.42974683814682,45.13418835693428,29074100
2015-01-06,MA,77.56765747070312,78.2118008740955,76.36339989736842,78.0997808890385,7690000
2015-01-06,META,75.62175750732422,77.05176323685461,74.83723673953054,76.69426748682473,27399300
2015-01-06,MSFT,38.823673248291016,39.75918211807027,38.730121712460715,39.44451142467352,36447900
2015-01-06,NVDA,0.4604564607143402,0.47605293853725933,0.45997657480977905,0.47557305263269817,197764000
2015-01-06,PG,65.43594360351562,66.13704234258672,65.18764023777351,65.95446437183371,7791200
2015-01-06,TSLA,14.085332870483398,14.279999732971191,13.61400032043457,14.003999710083008,93928500
2015-01-06,UNH,82.92129516601562,83.94398100505137,82.53569346195464,83.6841205164473,3468300
2015-01-06,V,59.477760314941406,60.235379659517406,58.86796904919732,60.006710137675505,11070000
2015-01-07,AAPL,23.864944458007812,23.964611763586213,23.632385158602347,23.743127360263635,160423600
2015-01-07,AMZN,14.920999526977539,15.064000129699707,14.766500473022461,14.875,52806000
2015-01-07,BRK-B,148.8800048828125,149.13999938964844,147.64999389648438,147.94000244140625,4159100
2015-01-07,GOOGL,25.06809425354004,25.382716517088017,24.993657812737325,25.355920458504503,46918000
2015-01-07,HD,80.65899658203125,80.705345999748,78.79721638543398,79.02124839418676,5091000
2015-01-07,JNJ,77.31029510498047,77.50804150954981,76.02862572678048,76.10186844707137,7931700
2015-01-07,JPM,43.965641021728516,44.57596457694816,43.667920967796015,44.57596457694816,23843200
2015-01-07,MA,78.77424621582031,78.83036426835544,77.69860501378855,78.6620029746803,5846800
2015-01-07,META,75.62175750732422,76.82336296387801,75.29404486195402,76.22752661186782,22045300
2015-01-07,MSFT,39.31694030761719,39.51254658843973,38.687598924842355,39.10432436181939,29114100
2015-01-07,NVDA,0.45925670862197876,0.46789476888611964,0.4578170223766901,0.46381566739240015,321808000
2015-01-07,PG,65.7791519165039,65.99824757969759,65.40669151780833,65.6842134340982,5986600
2015-01-07,TSLA,14.063332557678223,14.3186674118042,13.985333442687988,14.223333358764648,44526000
2015-01-07,UNH,83.76795959472656,84.07812045764028,82.92130876034285,82.95484018299284,3225800
2015-01-07,V,60.2746696472168,60.318556728466824,59.466233801665325,59.69490339944094,9346800
2015-01-08,AAPL,24.781892776489258,24.83947920152161,24.07535690294467,24.19274507045464,237458000
2015-01-08,AMZN,15.02299976348877,15.156999588012695,14.805500030517578,15.015999794006348,61768000
2015-01-08,BRK-B,151.3699951171875,151.3699951171875,150.50999450683594,150.60000610351562,4282100
2015-01-08,GOOGL,25.15543556213379,25.18471340329742,24.56539222110889,24.887459832181587,73054000
2015-01-08,HD,82.44351196289062,82.65209021643236,81.13022161309468,81.40060890743699,6464600
2015-01-08,JNJ,77.91817474365234,77.99141187707998,77.44945038455333,77.67648717446954,9916000
2015-01-08,JPM,44.9481086730957,45.327701845383885,44.635505203464085,44.635505203464085,16971100
